Car Make,Model,Mileage,Configuration,Year of Make,Primary Damage,Secondary Damage,Website Post Date,Sell Date,Estimated Price (USD),Options,Engine Type,Horsepower
Toyota,Corolla,22697,Automatic,1976,,,2024-01-01 16:34:10.637474,2024-02-28 16:34:10.637474,10000.0,Luxe,1.8L I4,139
Audi,A8,121787,Automatic,1994,,,2023-06-21 16:34:10.637487,2023-06-24 16:34:10.637487,22985.73,Advanced,4.0L V8,563
Audi,A4,125179,Automatic,2016,,,2022-02-27 16:34:10.637500,2022-03-18 16:34:10.637500,15000.0,Luxe,2.0L I4 Turbo,261
Mercedes-Benz,GLA,171390,Automatic,2021,,,2022-11-14 16:34:10.637513,,21980.14,Base,2.0L I4 Turbo,221
Toyota,Tacoma,29851,Automatic,2005,,,2022-02-13 16:34:10.637524,2022-04-08 16:34:10.637524,10000.0,Base,3.5L V6,278
Mercedes-Benz,S-Class,132984,Automatic,2001,,,2023-12-01 16:34:10.637536,,15484.98,Luxe,3.0L I6 Turbo,429
Audi,Q5,96203,Automatic,2023,,,2024-02-01 16:34:10.637550,2024-02-28 16:34:10.637550,111360.15000000001,Full,2.0L I4 Turbo,261
Audi,Q5,52980,Automatic,2023,Front,,2023-06-15 16:34:10.637563,2023-06-17 16:34:10.637563,98596.76999999999,Luxe,3.0L V6,349
Mercedes-Benz,GLA,80544,Automatic,2018,,,2022-10-17 16:34:10.637576,2022-11-30 16:34:10.637576,10000.0,Full,2.0L I4 Turbo,221
Mercedes-Benz,GLC,150859,Automatic,2015,Front,,2022-11-19 16:34:10.637588,,10000.0,Advanced,2.0L I4 Turbo,255
Mercedes-Benz,C-Class,60551,Automatic,2000,Rear,,2022-04-13 16:34:10.637599,2022-05-07 16:34:10.637599,10000.0,Full,2.0L I4 Turbo,255
Audi,A4,74008,Automatic,2013,Rear,,2024-03-10 16:34:10.637613,2024-03-17 16:34:10.637613,15000.0,Luxe,2.0L I4 Turbo,261
Toyota,RAV4,169112,Automatic,2002,,,2024-05-31 16:34:10.637626,2024-07-08 16:34:10.637626,10000.0,Advanced,2.5L I4,203
Toyota,RAV4,178692,Automatic,1999,,,2023-10-03 16:34:10.637638,,10000.0,Full,2.5L I4,203
Mercedes-Benz,GLC,70116,Automatic,2021,,,2023-10-08 16:34:10.637651,,36090.1,Base,2.0L I4 Turbo,255
Toyota,Highlander,143136,Automatic,2016,,,2022-06-21 16:34:10.637669,,10000.0,Luxe,2.5L I4 Hybrid,243
Mercedes-Benz,S-Class,73552,Automatic,2011,,,2022-07-01 16:34:10.637683,2022-07-12 16:34:10.637683,18269.04,Luxe,3.0L I6 Turbo,429
Toyota,Highlander,146531,Automatic,2023,,,2022-10-10 16:34:10.637696,,44290.02,Advanced,2.5L I4 Hybrid,243
Mercedes-Benz,S-Class,90142,Automatic,2014,,,2022-08-06 16:34:10.637707,,16804.88,Luxe,3.0L I6 Turbo,429
Mercedes-Benz,E-Class,33340,Automatic,2015,,,2022-08-09 16:34:10.637719,,12829.12,Luxe,2.0L I4 Turbo,255
Audi,Q7,171574,Automatic,2008,,,2024-08-28 16:34:10.637731,2024-09-28 16:34:10.637731,15828.0,Full,3.0L V6 Turbo,335
Audi,A6,120727,Automatic,2023,Front,,2024-01-18 16:34:10.637746,2024-02-01 16:34:10.637746,90372.45000000001,Full,2.0L I4 Turbo,248
Mercedes-Benz,C-Class,198952,Automatic,2008,,,2023-10-27 16:34:10.637760,,10000.0,Advanced,2.0L I4 Turbo,255
Toyota,Highlander,55434,Automatic,2008,,,2022-09-12 16:34:10.637774,2022-10-27 16:34:10.637774,10000.0,Full,3.5L V6,295
Toyota,Corolla,143319,Automatic,1996,,,2024-11-04 16:34:10.637795,,10000.0,Luxe,2.0L I4,169
Mercedes-Benz,GLA,40483,Automatic,2015,,,2023-10-30 16:34:10.637813,,10000.0,Luxe,2.0L I4 Turbo,221
Mercedes-Benz,C-Class,155984,Automatic,1996,,,2022-04-06 16:34:10.637834,2022-05-18 16:34:10.637834,10000.0,Luxe,2.0L I4 Turbo,255
Mercedes-Benz,S-Class,68363,Automatic,1991,Front,,2023-05-22 16:34:10.637848,,10803.18,Base,3.0L I6 Turbo,429
Audi,Q7,55120,Automatic,2015,,,2022-11-16 16:34:10.637862,,16994.16,Base,3.0L V6 Turbo,335
Audi,A4,173979,Automatic,2006,Front,,2022-09-08 16:34:10.637882,,15000.0,Advanced,2.0L I4 Turbo,261
Mercedes-Benz,GLC,43176,Automatic,2021,,,2022-05-25 16:34:10.637898,,44612.96,Advanced,2.0L I4 Turbo,255
Mercedes-Benz,E-Class,70738,Automatic,2004,,,2023-11-13 16:34:10.637910,,10000.0,Base,3.0L I6 Turbo,362
Audi,A4,172998,Automatic,2019,,,2024-04-20 16:34:10.638238,2024-04-22 16:34:10.638238,16616.22,Luxe,2.0L I4 Turbo,261
Mercedes-Benz,C-Class,26067,Automatic,1997,,,2022-08-01 16:34:10.638265,,10000.0,Luxe,2.0L I4 Turbo,255
Mercedes-Benz,C-Class,160532,Automatic,2003,Front,,2023-04-02 16:34:10.638279,2023-05-26 16:34:10.638279,10000.0,Full,2.0L I4 Turbo,255
Mercedes-Benz,C-Class,155369,Automatic,1995,,,2023-12-16 16:34:10.638294,2023-12-28 16:34:10.638294,10000.0,Base,2.0L I4 Turbo,255
Audi,A6,123684,Automatic,2009,,,2023-08-03 16:34:10.638307,,15000.0,Advanced,3.0L V6 Turbo,335
Toyota,RAV4,124146,Automatic,1994,,,2023-01-21 16:34:10.638318,2023-02-04 16:34:10.638318,10000.0,Full,2.5L I4,203
Toyota,Highlander,95574,Automatic,2002,,,2024-09-09 16:34:10.638330,2024-09-18 16:34:10.638330,10000.0,Advanced,3.5L V6,295
Audi,Q7,26865,Automatic,2009,,,2024-01-03 16:34:10.638343,,19518.12,Advanced,3.0L V6 Turbo,335
Mercedes-Benz,S-Class,51485,Automatic,1977,,,2022-06-17 16:34:10.638355,,15230.1,Advanced,4.0L V8,496
Mercedes-Benz,S-Class,46867,Automatic,2013,,,2024-01-01 16:34:10.638367,2024-02-08 16:34:10.638367,17184.12,Advanced,3.0L I6 Turbo,429
Toyota,Highlander,196293,Automatic,2018,Front,Side,2023-04-06 16:34:10.638383,2023-06-03 16:34:10.638383,10000.0,Luxe,2.5L I4 Hybrid,243
Toyota,RAV4,130937,Automatic,1995,,,2023-10-12 16:34:10.638395,2023-10-27 16:34:10.638395,10000.0,Full,2.5L I4,203
Mercedes-Benz,C-Class,8388,Automatic,2001,,,2023-05-13 16:34:10.638407,2023-05-21 16:34:10.638407,10000.0,Base,2.0L I4 Turbo,255
Audi,Q5,110371,Automatic,2018,,,2022-07-28 16:34:10.638419,,15000.0,Full,2.0L I4 Turbo,261
Mercedes-Benz,GLA,144214,Automatic,2022,,,2023-08-05 16:34:10.638437,,42828.28,Full,2.0L I4 Turbo,221
Toyota,Camry,122125,Automatic,1985,Rear,,2022-08-20 16:34:10.638459,,10000.0,Advanced,3.5L V6,301
Audi,Q5,104850,Automatic,2009,,,2024-11-03 16:34:10.638476,2024-12-09 16:34:10.638476,15000.0,Luxe,3.0L V6,349
Toyota,Corolla,56066,Automatic,2008,,,2022-03-20 16:34:10.638489,2022-05-02 16:34:10.638489,10000.0,Luxe,2.0L I4,169
Toyota,RAV4,162309,Automatic,1995,Roof,,2024-05-20 16:34:10.638501,,10000.0,Base,2.5L I4,203
Mercedes-Benz,GLC,60971,Automatic,2018,Rear,Side,2022-03-31 16:34:10.638514,,10000.0,Base,2.0L I4 Turbo,255
Audi,Q7,40352,Automatic,2012,,,2022-08-25 16:34:10.638525,,24230.85,Luxe,3.0L V6 Turbo,335
Mercedes-Benz,E-Class,80699,Automatic,2013,Side,,2023-10-27 16:34:10.638537,2023-12-03 16:34:10.638537,10000.0,Advanced,3.0L I6 Turbo,362
Toyota,Tacoma,113844,Automatic,1999,,,2022-05-16 16:34:10.638549,2022-06-16 16:34:10.638549,10000.0,Advanced,2.7L I4,159
Audi,A6,97114,Automatic,2002,,,2022-09-07 16:34:10.638561,,17122.44,Full,2.0L I4 Turbo,248
Audi,A8,89524,Automatic,2008,,,2023-02-05 16:34:10.638572,2023-02-08 16:34:10.638572,24768.239999999998,Advanced,3.0L V6 Turbo,335
Mercedes-Benz,E-Class,93206,Automatic,2010,Front,,2022-09-10 16:34:10.638585,2022-10-30 16:34:10.638585,10000.0,Full,3.0L I6 Turbo,362
Mercedes-Benz,E-Class,82392,Automatic,1993,,,2022-11-21 16:34:10.638597,2022-12-08 16:34:10.638597,10000.0,Base,3.0L I6 Turbo,362
Toyota,RAV4,175572,Automatic,2017,,,2023-12-13 16:34:10.638609,2024-01-26 16:34:10.638609,10000.0,Advanced,2.5L I4,203
Mercedes-Benz,GLA,10227,Automatic,2016,,,2024-09-09 16:34:10.638621,2024-10-14 16:34:10.638621,10000.0,Luxe,2.0L I4 Turbo,221
Audi,A6,136334,Automatic,2007,,,2022-10-26 16:34:10.638633,2022-10-27 16:34:10.638633,15000.0,Advanced,2.0L I4 Turbo,248
Audi,Q7,193347,Automatic,2017,Side,,2024-04-08 16:34:10.638645,,15000.0,Base,2.0L I4 Turbo,248
Mercedes-Benz,S-Class,40291,Automatic,1978,,,2022-07-28 16:34:10.638657,,18792.14,Luxe,3.0L I6 Turbo,429
Audi,A4,18061,Automatic,1996,,,2023-08-24 16:34:10.638679,2023-10-03 16:34:10.638679,15000.0,Base,2.0L I4 Turbo,261
Mercedes-Benz,S-Class,103102,Automatic,2008,,,2024-10-19 16:34:10.638697,,16349.2,Luxe,4.0L V8,496
Audi,A4,69099,Automatic,2003,,,2024-05-18 16:34:10.638709,2024-05-24 16:34:10.638709,15000.0,Luxe,2.0L I4 Turbo,261
Audi,Q5,142276,Automatic,2015,Front,,2022-12-29 16:34:10.638723,2023-01-25 16:34:10.638723,15000.0,Full,2.0L I4 Turbo,261
Audi,Q5,111702,Automatic,2017,,,2023-12-08 16:34:10.638735,,15000.0,Base,3.0L V6,349
Toyota,RAV4,112365,Automatic,2008,Rear,,2023-11-10 16:34:10.638746,,10000.0,Luxe,2.5L I4,203
Audi,Q5,92577,Automatic,2021,,,2023-05-26 16:34:10.638757,,59641.92,Base,3.0L V6,349
Toyota,Corolla,17518,Automatic,1993,Front,,2022-08-14 16:34:10.638769,2022-09-02 16:34:10.638769,10000.0,Full,1.8L I4,139
Mercedes-Benz,GLC,194440,Automatic,2017,Front,,2024-09-05 16:34:10.638782,2024-10-18 16:34:10.638782,10000.0,Full,2.0L I4 Turbo,255
Audi,A4,132206,Automatic,2016,Roof,,2022-11-04 16:34:10.638794,2022-12-14 16:34:10.638794,15000.0,Full,2.0L I4 Turbo,261
Mercedes-Benz,S-Class,11055,Automatic,1974,Front,,2024-05-21 16:34:10.638806,2024-06-24 16:34:10.638806,14964.08,Full,4.0L V8,496
Mercedes-Benz,S-Class,7854,Manual,2000,,,2024-10-11 16:34:10.638819,,14871.36,Base,4.0L V8,496
Toyota,Highlander,128172,Automatic,2000,,,2024-08-29 16:34:10.638830,,10000.0,Base,3.5L V6,295
Toyota,Camry,36058,Automatic,1992,Roof,,2023-04-19 16:34:10.638841,,10000.0,Luxe,2.5L I4,203
Toyota,Camry,176804,Automatic,2001,Roof,Front,2024-07-19 16:34:10.638854,,10000.0,Base,2.5L I4,203
Toyota,Camry,44116,Automatic,2017,,,2024-03-27 16:34:10.638865,,10000.0,Advanced,3.5L V6,301
Audi,Q5,20776,Automatic,2010,Front,,2022-05-17 16:34:10.638876,,15000.0,Full,3.0L V6,349
Toyota,Corolla,150871,Automatic,2008,,,2022-12-06 16:34:10.638894,2023-01-31 16:34:10.638894,10000.0,Advanced,2.0L I4,169
Toyota,Tacoma,135621,Automatic,2017,,,2024-01-18 16:34:10.638913,2024-01-24 16:34:10.638913,10000.0,Luxe,2.7L I4,159
Mercedes-Benz,S-Class,158301,Automatic,2001,,,2022-12-15 16:34:10.638932,,13785.72,Luxe,4.0L V8,496
Toyota,Tacoma,101212,Automatic,2003,Side,,2023-10-22 16:34:10.638952,,10000.0,Full,3.5L V6,278
Toyota,RAV4,17291,Automatic,2014,,,2023-09-07 16:34:10.638967,,10000.0,Luxe,2.5L I4,203
Toyota,Highlander,104846,Automatic,2018,,,2023-01-11 16:34:10.638977,2023-02-06 16:34:10.638977,10000.0,Base,3.5L V6,295
Toyota,Tacoma,11003,Automatic,1995,,,2023-06-18 16:34:10.638990,2023-07-22 16:34:10.638990,10000.0,Full,3.5L V6,278
Audi,A8,81218,Automatic,2022,Front,,2023-01-29 16:34:10.639002,,143719.29,Luxe,3.0L V6 Turbo,335
Mercedes-Benz,GLA,67603,Automatic,2016,,,2022-10-09 16:34:10.639014,,10000.0,Full,2.0L I4 Turbo,221
Audi,A8,159597,Automatic,1994,Roof,,2023-10-15 16:34:10.639025,,15000.0,Advanced,3.0L V6 Turbo,335
Mercedes-Benz,E-Class,121133,Automatic,1994,Rear,,2022-11-06 16:34:10.639035,,10000.0,Luxe,3.0L I6 Turbo,362
Mercedes-Benz,GLA,84924,Automatic,2015,Front,,2022-03-08 16:34:10.639047,,10000.0,Base,2.0L I4 Turbo,221
Toyota,Highlander,59431,Automatic,2014,Rear,,2022-06-11 16:34:10.639059,,10000.0,Advanced,2.5L I4 Hybrid,243
Mercedes-Benz,C-Class,110582,Automatic,2022,,,2023-04-08 16:34:10.639095,2023-04-24 16:34:10.639095,37753.86,Base,2.0L I4 Turbo,255
Audi,A4,77335,Automatic,2015,,,2022-11-10 16:34:10.639118,2022-11-12 16:34:10.639118,15000.0,Advanced,2.0L I4 Turbo,261
Toyota,Highlander,42230,Automatic,2004,Front,,2022-07-31 16:34:10.639138,,10000.0,Advanced,3.5L V6,295
Toyota,Tacoma,146891,Automatic,2020,Rear,,2024-09-18 16:34:10.639158,2024-09-24 16:34:10.639158,17189.9,Luxe,2.7L I4,159
Audi,Q7,39271,Automatic,2013,,,2024-02-12 16:34:10.639171,2024-02-16 16:34:10.639171,19767.420000000002,Advanced,2.0L I4 Turbo,248
Toyota,Highlander,65090,Automatic,2015,,,2023-02-01 16:34:10.639185,2023-03-25 16:34:10.639185,10000.0,Base,2.5L I4 Hybrid,243
Mercedes-Benz,E-Class,192924,Automatic,1994,,,2024-05-08 16:34:10.639197,,10000.0,Luxe,2.0L I4 Turbo,255
Mercedes-Benz,GLC,32914,Automatic,2015,,,2023-08-11 16:34:10.639209,,11248.48,Full,2.0L I4 Turbo,255
Mercedes-Benz,S-Class,131964,Automatic,1979,Front,,2024-02-21 16:34:10.639220,2024-03-22 16:34:10.639220,12412.04,Luxe,4.0L V8,496
Toyota,Tacoma,141896,Manual,2019,,,2024-07-09 16:34:10.639233,,10000.0,Advanced,2.7L I4,159
Audi,Q5,132592,Automatic,2012,,,2024-06-16 16:34:10.639244,,15000.0,Base,2.0L I4 Turbo,261
Audi,Q7,180221,Automatic,2011,,,2022-07-10 16:34:10.639255,,15000.0,Advanced,2.0L I4 Turbo,248
Toyota,Corolla,176517,Automatic,1978,,,2022-12-05 16:34:10.639265,,10000.0,Advanced,1.8L I4,139
Toyota,Tacoma,172793,Automatic,2011,,,2022-03-23 16:34:10.639275,2022-05-18 16:34:10.639275,10000.0,Advanced,3.5L V6,278
Toyota,Corolla,101217,Automatic,2020,,,2024-07-11 16:34:10.639287,,10000.0,Base,1.8L I4,139
Toyota,Camry,53644,Automatic,2002,Rear,,2024-09-06 16:34:10.639297,,10000.0,Base,2.5L I4,203
Mercedes-Benz,GLC,48712,Automatic,2016,Front,,2022-09-02 16:34:10.639322,2022-10-11 16:34:10.639322,10000.0,Full,2.0L I4 Turbo,255
Toyota,Camry,7685,Automatic,2014,,,2024-07-18 16:34:10.639335,,10000.0,Base,3.5L V6,301
Toyota,Tacoma,145590,Automatic,2006,Rear,,2023-02-24 16:34:10.639348,,10000.0,Luxe,3.5L V6,278
Toyota,Camry,16040,Automatic,2007,,,2024-03-19 16:34:10.639359,2024-05-18 16:34:10.639359,10000.0,Full,3.5L V6,301
Toyota,Corolla,166451,Automatic,1977,,,2022-02-27 16:34:10.639370,,10000.0,Advanced,1.8L I4,139
Audi,Q7,101516,Automatic,2005,Rear,,2024-03-01 16:34:10.639382,2024-04-24 16:34:10.639382,15000.0,Base,3.0L V6 Turbo,335
Mercedes-Benz,S-Class,18370,Automatic,1986,,,2024-06-11 16:34:10.639395,2024-07-05 16:34:10.639395,18952.88,Luxe,4.0L V8,496
Toyota,Highlander,166777,Automatic,2023,Side,,2022-10-25 16:34:10.639408,,32913.78,Advanced,2.5L I4 Hybrid,243
Mercedes-Benz,GLA,139087,Automatic,2021,Rear,,2023-11-12 16:34:10.639422,,20416.7,Base,2.0L I4 Turbo,221
Toyota,Corolla,60763,Automatic,1972,,,2023-01-06 16:34:10.639434,2023-01-31 16:34:10.639434,10000.0,Advanced,2.0L I4,169
Toyota,Tacoma,26793,Automatic,2023,,,2023-06-06 16:34:10.639446,,67438.62,Luxe,2.7L I4,159
Toyota,RAV4,116717,Automatic,2017,,,2023-06-13 16:34:10.639458,2023-06-26 16:34:10.639458,10000.0,Advanced,2.5L I4,203
Mercedes-Benz,GLC,155045,Automatic,2016,,,2022-04-02 16:34:10.639470,,10000.0,Advanced,2.0L I4 Turbo,255
Mercedes-Benz,C-Class,183090,Automatic,2009,,,2024-01-13 16:34:10.639480,,10000.0,Advanced,2.0L I4 Turbo,255
Toyota,Tacoma,94335,Automatic,2010,,,2023-08-02 16:34:10.639491,2023-09-03 16:34:10.639491,10000.0,Base,3.5L V6,278
Mercedes-Benz,E-Class,190437,Automatic,1998,,,2024-03-27 16:34:10.639510,2024-03-30 16:34:10.639510,10000.0,Base,3.0L I6 Turbo,362
Audi,A4,90080,Automatic,1997,Roof,,2023-06-24 16:34:10.639531,2023-07-07 16:34:10.639531,15000.0,Advanced,2.0L I4 Turbo,261
Mercedes-Benz,C-Class,59508,Automatic,2014,,,2022-09-19 16:34:10.639550,2022-09-25 16:34:10.639550,10000.0,Base,2.0L I4 Turbo,255
Audi,A8,61337,Manual,2003,,,2024-06-02 16:34:10.639566,,25800.090000000004,Advanced,4.0L V8,563
Toyota,Camry,20238,Manual,2008,,,2023-08-02 16:34:10.639579,2023-09-18 16:34:10.639579,10000.0,Base,3.5L V6,301
Audi,A4,75497,Automatic,2019,,,2023-05-12 16:34:10.639591,,20121.93,Full,2.0L I4 Turbo,261
Audi,A8,27821,Automatic,2012,Front,,2022-09-10 16:34:10.639602,,27771.48,Luxe,3.0L V6 Turbo,335
Toyota,RAV4,21985,Automatic,2021,Rear,,2023-12-23 16:34:10.639614,,23870.6,Full,2.5L I4,203
Audi,Q7,60491,Automatic,2006,,,2024-07-05 16:34:10.639627,2024-07-08 16:34:10.639627,15678.57,Base,2.0L I4 Turbo,248
Toyota,Camry,79258,Automatic,1995,,,2024-01-25 16:34:10.639639,2024-02-16 16:34:10.639639,10000.0,Advanced,3.5L V6,301
Mercedes-Benz,S-Class,14114,Automatic,2004,Rear,,2024-08-07 16:34:10.639652,,12785.16,Advanced,3.0L I6 Turbo,429
Toyota,RAV4,9255,Automatic,2009,Side,,2024-07-31 16:34:10.639665,2024-08-23 16:34:10.639665,10000.0,Base,2.5L I4,203
Toyota,RAV4,30387,Automatic,2010,,,2022-10-20 16:34:10.639677,,10000.0,Base,2.5L I4,203
Toyota,Corolla,195432,Automatic,1985,,,2022-06-10 16:34:10.639942,2022-06-12 16:34:10.639942,10000.0,Luxe,1.8L I4,139
Mercedes-Benz,S-Class,127339,Automatic,1996,,,2022-05-01 16:34:10.640000,,14622.74,Full,4.0L V8,496
Audi,A6,36614,Automatic,2013,,,2024-05-11 16:34:10.640029,2024-07-01 16:34:10.640029,19264.800000000003,Full,3.0L V6 Turbo,335
Audi,A8,184521,Automatic,2005,,,2022-08-21 16:34:10.640055,,19798.68,Advanced,4.0L V8,563
Toyota,Tacoma,83015,Automatic,2017,,,2023-03-02 16:34:10.640077,,10000.0,Base,3.5L V6,278
Toyota,RAV4,122525,Automatic,2012,,,2022-12-04 16:34:10.640097,,10000.0,Base,2.5L I4,203
Audi,Q5,114705,Automatic,2016,,,2023-05-11 16:34:10.640116,2023-06-09 16:34:10.640116,15000.0,Full,3.0L V6,349
Toyota,Highlander,146420,Automatic,2018,,,2022-03-18 16:34:10.640137,2022-03-27 16:34:10.640137,10000.0,Advanced,3.5L V6,295
Toyota,Highlander,101182,Automatic,2010,,,2023-04-09 16:34:10.640158,2023-05-17 16:34:10.640158,10000.0,Luxe,2.5L I4 Hybrid,243
Audi,A8,96817,Automatic,2021,,,2022-10-21 16:34:10.640179,,99971.34,Base,3.0L V6 Turbo,335
Audi,A4,50949,Automatic,2009,,,2024-10-11 16:34:10.640200,,15000.0,Base,2.0L I4 Turbo,261
Mercedes-Benz,GLA,68150,Automatic,2014,Side,,2023-11-04 16:34:10.640219,,10000.0,Luxe,2.0L I4 Turbo,221
Mercedes-Benz,GLC,117801,Automatic,2015,Rear,,2022-12-31 16:34:10.640240,2023-02-02 16:34:10.640240,10000.0,Full,2.0L I4 Turbo,255
Audi,A4,46875,Automatic,1998,Front,,2023-06-11 16:34:10.640261,,15000.0,Luxe,2.0L I4 Turbo,261
Toyota,Tacoma,44684,Automatic,1999,Rear,,2024-05-04 16:34:10.640279,,10000.0,Base,2.7L I4,159
Mercedes-Benz,GLC,85093,Automatic,2023,,,2022-12-12 16:34:10.640297,2023-01-04 16:34:10.640297,58494.96,Base,2.0L I4 Turbo,255
Audi,A8,29014,Automatic,1996,,,2024-09-25 16:34:10.640319,2024-11-12 16:34:10.640319,29151.629999999997,Full,4.0L V8,563
Audi,A4,189911,Automatic,2000,,,2022-09-03 16:34:10.640342,,15000.0,Base,2.0L I4 Turbo,261
Audi,A8,160718,Automatic,2013,Side,,2023-07-08 16:34:10.640362,,15000.0,Base,4.0L V8,563
Toyota,Tacoma,10058,Automatic,1997,Front,,2022-12-21 16:34:10.640383,,10000.0,Base,3.5L V6,278
Mercedes-Benz,S-Class,100430,Automatic,1997,Side,,2023-10-02 16:34:10.640402,,12926.52,Luxe,4.0L V8,496
Audi,Q7,107436,Automatic,2022,,,2024-03-18 16:34:10.640422,,90740.28,Advanced,2.0L I4 Turbo,248
Toyota,Corolla,160058,Automatic,1988,Rear,,2024-09-06 16:34:10.640442,,10000.0,Full,2.0L I4,169
Mercedes-Benz,S-Class,45956,Automatic,1981,,,2024-01-19 16:34:10.640460,,19725.1,Luxe,3.0L I6 Turbo,429
Audi,A6,63964,Automatic,2023,Rear,,2023-11-27 16:34:10.640480,,86567.01,Base,2.0L I4 Turbo,248
Audi,A4,57026,Automatic,2000,Rear,,2023-04-26 16:34:10.640500,,15000.0,Full,2.0L I4 Turbo,261
Mercedes-Benz,S-Class,27823,Automatic,2004,,,2023-01-22 16:34:10.640521,,16960.8,Advanced,3.0L I6 Turbo,429
Audi,Q7,33850,Automatic,2008,Front,,2024-02-03 16:34:10.640540,,18079.59,Luxe,2.0L I4 Turbo,248
Mercedes-Benz,GLA,195291,Automatic,2015,Roof,,2023-05-23 16:34:10.640560,,10000.0,Advanced,2.0L I4 Turbo,221
Toyota,RAV4,82406,Automatic,2009,,,2022-08-14 16:34:10.640578,2022-08-19 16:34:10.640578,10000.0,Advanced,2.5L I4,203
Toyota,Highlander,159127,Automatic,2022,,,2022-08-07 16:34:10.640600,,40101.02,Luxe,2.5L I4 Hybrid,243
Mercedes-Benz,GLC,84009,Automatic,2022,Front,,2022-11-19 16:34:10.640620,2022-11-23 16:34:10.640620,37732.86,Base,2.0L I4 Turbo,255
Audi,A4,120762,Automatic,2009,,,2023-06-11 16:34:10.640642,,15000.0,Advanced,2.0L I4 Turbo,261
Audi,Q7,48824,Automatic,2016,Front,,2024-08-10 16:34:10.640664,,15000.0,Base,3.0L V6 Turbo,335
Toyota,Corolla,94915,Automatic,2001,,,2023-09-28 16:34:10.640683,,10000.0,Advanced,2.0L I4,169
Toyota,Camry,36298,Automatic,2000,,,2022-02-24 16:34:10.640702,,10000.0,Luxe,3.5L V6,301
Audi,A4,161910,Automatic,2003,,,2022-03-11 16:34:10.640720,2022-03-20 16:34:10.640720,15000.0,Luxe,2.0L I4 Turbo,261
Audi,Q5,68722,Automatic,2017,Side,Roof,2023-03-26 16:34:10.640744,,15000.0,Luxe,2.0L I4 Turbo,261
Audi,A6,90835,Automatic,1996,,,2024-03-31 16:34:10.640763,2024-04-20 16:34:10.640763,15000.0,Base,3.0L V6 Turbo,335
Audi,Q7,184841,Automatic,2021,,,2022-10-15 16:34:10.640783,2022-10-17 16:34:10.640783,70234.14,Full,2.0L I4 Turbo,248
Toyota,Camry,49391,Automatic,1998,,,2024-01-21 16:34:10.640805,2024-03-07 16:34:10.640805,10000.0,Luxe,2.5L I4,203
Mercedes-Benz,GLA,196679,Manual,2014,Roof,,2022-06-01 16:34:10.640830,,10000.0,Full,2.0L I4 Turbo,221
Mercedes-Benz,GLA,71773,Automatic,2018,,,2024-01-16 16:34:10.640848,2024-03-13 16:34:10.640848,10000.0,Base,2.0L I4 Turbo,221
Audi,A6,176468,Automatic,1998,Front,,2022-02-15 16:34:10.640870,,15000.0,Base,2.0L I4 Turbo,248
Toyota,Highlander,70455,Automatic,2022,,,2023-01-06 16:34:10.640887,2023-02-18 16:34:10.640887,43665.68,Full,3.5L V6,295
Toyota,Tacoma,149399,Automatic,1996,,,2022-08-30 16:34:10.640910,2022-09-16 16:34:10.640910,10000.0,Base,2.7L I4,159
Mercedes-Benz,S-Class,196042,Automatic,1988,,,2023-05-01 16:34:10.640930,,13035.78,Full,3.0L I6 Turbo,429
Audi,A6,131637,Automatic,2010,,,2022-06-20 16:34:10.640950,2022-07-04 16:34:10.640950,15000.0,Advanced,3.0L V6 Turbo,335
Mercedes-Benz,GLC,152426,Automatic,2023,,,2023-12-24 16:34:10.640971,2024-02-04 16:34:10.640971,56501.3,Full,2.0L I4 Turbo,255
Mercedes-Benz,GLC,9564,Automatic,2020,Front,Roof,2024-10-29 16:34:10.640997,,28460.14,Luxe,2.0L I4 Turbo,255
Toyota,RAV4,97714,Automatic,2012,,,2024-01-21 16:34:10.641016,,10000.0,Luxe,2.5L I4,203
Audi,Q5,105285,Automatic,2017,,,2022-09-11 16:34:10.641036,2022-10-09 16:34:10.641036,15000.0,Full,3.0L V6,349
Audi,A8,39714,Automatic,2022,,,2022-03-19 16:34:10.641056,2022-04-06 16:34:10.641056,183413.01,Full,3.0L V6 Turbo,335
Audi,A8,126239,Manual,1998,,,2023-09-04 16:34:10.641078,2023-10-29 16:34:10.641078,26860.11,Luxe,3.0L V6 Turbo,335
Mercedes-Benz,GLC,134536,Automatic,2022,Rear,,2022-10-14 16:34:10.641104,,34105.46,Base,2.0L I4 Turbo,255
Audi,A6,78114,Automatic,2011,Front,Rear,2024-06-26 16:34:10.641127,2024-08-13 16:34:10.641127,15000.0,Luxe,2.0L I4 Turbo,248
Toyota,Camry,69914,Automatic,1999,,,2024-01-18 16:34:10.641155,,10000.0,Full,3.5L V6,301
Audi,Q5,87795,Automatic,2021,,,2024-10-25 16:34:10.641174,,74485.98,Luxe,2.0L I4 Turbo,261
Mercedes-Benz,C-Class,58527,Automatic,2012,,,2022-05-21 16:34:10.641193,2022-06-11 16:34:10.641193,10000.0,Full,2.0L I4 Turbo,255
Mercedes-Benz,GLC,161628,Automatic,2015,,,2024-07-07 16:34:10.641213,,10000.0,Full,2.0L I4 Turbo,255
Toyota,Corolla,62423,Manual,1991,,,2023-11-22 16:34:10.641232,2023-12-13 16:34:10.641232,10000.0,Full,2.0L I4,169
Audi,A8,115492,Automatic,2023,Rear,Side,2022-11-03 16:34:10.641257,,126288.15000000001,Base,4.0L V8,563
